                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5428,                  3.867,                 1.4993,                0.00084,                0.85625,                0.00141,                 0.0003,                 1.4858,             3.7518e+05,                 11.926,                 0.0706,              0.0032667,              0.0032667
                      2,                 1.5946,                 2.8146,                 1.6183,                0.00039,                0.89844,                0.00078,                0.00026,                 1.6506,                  38241,                  6.034,               0.040273,              0.0062733,              0.0062733
                      3,                  1.487,                 2.5883,                   1.58,                0.00148,                 0.5151,                0.00186,                0.00075,                 1.3868,                 1302.2,                 2.0923,              0.0096166,              0.0089499,              0.0089499
                      4,                  1.302,                 2.3081,                 1.4659,                0.75332,                0.03906,                0.00472,                0.00268,                 1.1403,                  68.32,                 1.6769,               0.008515,               0.008515,               0.008515
                      5,                 1.2811,                 2.3275,                 1.4538,                0.75137,                0.03906,                0.00366,                0.00185,                 1.2361,                 395.77,                  1.647,               0.008515,               0.008515,               0.008515
                      6,                 1.1499,                 2.1571,                 1.3106,                  0.503,                 0.0625,                0.04237,                0.02439,                 1.0979,                 5.6842,                 1.2827,                0.00802,                0.00802,                0.00802
                      7,                 1.1401,                 2.1551,                 1.3361,                0.78055,                0.05767,                0.08163,                0.05724,                0.96295,                 5.6662,                 1.1733,               0.007525,               0.007525,               0.007525
                      8,                 1.1234,                 1.9953,                 1.2631,                0.65804,                0.24219,                0.31871,                 0.2716,                0.79252,                 5.0205,                0.95923,                0.00703,                0.00703,                0.00703
                      9,                 1.1045,                 2.0844,                 1.2605,                0.82074,                 0.0987,                0.13995,                 0.1058,                 1.0656,                 32.114,                  1.521,               0.006535,               0.006535,               0.006535
                     10,                 1.0555,                 2.0158,                 1.2443,                0.31293,                0.42448,                0.18311,                0.12717,                0.96908,                 8.9572,                 1.0121,                0.00604,                0.00604,                0.00604
                     11,                0.98514,                 1.8674,                 1.3127,                0.84486,                0.11719,                0.28778,                0.23318,                0.92848,                 8.6372,                 1.1958,               0.005545,               0.005545,               0.005545
                     12,                0.86048,                 2.0051,                 1.2074,                0.34308,                0.54948,                0.29643,                0.24651,                0.82327,                 4.3226,                0.87257,                0.00505,                0.00505,                0.00505
                     13,                0.91109,                 1.5434,                 1.3173,                0.10942,                0.88281,                0.26397,                0.19866,                0.88269,                 3.0901,                0.89886,               0.004555,               0.004555,               0.004555
                     14,                0.83027,                  1.631,                 1.2714,                0.11686,                0.66667,                0.31591,                 0.2653,                0.99801,                 3.7088,                 1.4251,                0.00406,                0.00406,                0.00406
                     15,                0.88005,                 1.5268,                 1.2388,                 0.8615,                0.10938,                0.28765,                0.23578,                0.97262,                 27.397,                 1.3128,               0.003565,               0.003565,               0.003565
                     16,                0.76577,                 1.5251,                 1.1698,                0.17101,                0.84115,                0.27157,                0.23058,                0.86242,                  1.984,                0.86335,                0.00307,                0.00307,                0.00307
                     17,                0.79845,                 1.3851,                 1.1663,                 0.1483,                0.66183,                0.33173,                0.29359,                0.90585,                 3.9167,                 1.1566,               0.002575,               0.002575,               0.002575
                     18,                0.74859,                 1.3816,                 1.1733,                0.32735,                0.38281,                0.29967,                0.23148,                0.96932,                 2.9331,                 1.2405,                0.00208,                0.00208,                0.00208
                     19,                0.73307,                 1.2948,                 1.1032,                 0.1511,                0.88281,                0.24785,                0.20653,                0.79611,                 2.4049,                0.79752,               0.001585,               0.001585,               0.001585
                     20,                0.68173,                 1.2477,                 1.1007,                0.31516,                0.16855,                 0.2364,                0.20143,                0.83138,                 2.5036,                0.83918,                0.00109,                0.00109,                0.00109
